Symbol	Description
L3M26	MSCI ACWI NTR Index {Jun 26}
L3U25	MSCI ACWI NTR Index {Sep 25}
L3Z25	MSCI ACWI NTR Index {Dec 25}
L5H25	MSCI EM NTR Index {Mar 25}
L5H26	MSCI EM NTR Index {Mar 26}
L5H27	MSCI EM NTR Index {Mar 27}
L5H28	MSCI EM NTR Index {Mar 28}
L5M25	MSCI EM NTR Index {Jun 25}
L5M26	MSCI EM NTR Index {Jun 26}
L5M27	MSCI EM NTR Index {Jun 27}
L5U25	MSCI EM NTR Index {Sep 25}
L5U26	MSCI EM NTR Index {Sep 26}
L5U27	MSCI EM NTR Index {Sep 27}
L5Z25	MSCI EM NTR Index {Dec 25}
L5Z26	MSCI EM NTR Index {Dec 26}
L5Z27	MSCI EM NTR Index {Dec 27}
MIH25	MSCI USA Growth {Mar 25}
MIH26	MSCI USA Growth {Mar 26}
MIM25	MSCI USA Growth {Jun 25}
MIM26	MSCI USA Growth {Jun 26}
MIU25	MSCI USA Growth {Sep 25}
MIZ25	MSCI USA Growth {Dec 25}
NS	Dollar/Krone
NSH25	Dollar/Krone {Mar 25}
NSH26	Dollar/Krone {Mar 26}
NSM25	Dollar/Krone {Jun 25}
NSU25	Dollar/Krone {Sep 25}
NSZ25	Dollar/Krone {Dec 25}
OJ	Orange Juice
OJF26	Orange Juice {Jan 26}
OJF27	Orange Juice {Jan 27}
OJF28	Orange Juice {Jan 28}
OJH25	Orange Juice {Mar 25}
OJH26	Orange Juice {Mar 26}
OJH27	Orange Juice {Mar 27}
OJH28	Orange Juice {Mar 28}
OJK25	Orange Juice {May 25}
OJK26	Orange Juice {May 26}
OJK27	Orange Juice {May 27}
OJN25	Orange Juice {Jul 25}
OJN26	Orange Juice {Jul 26}
OJN27	Orange Juice {Jul 27}
OJU25	Orange Juice {Sep 25}
OJU26	Orange Juice {Sep 26}
OJU27	Orange Juice {Sep 27}
OJX25	Orange Juice {Nov 25}
OJX26	Orange Juice {Nov 26}
OJX27	Orange Juice {Nov 27}
OL	Euro/Krone
OLH25	Euro/Krone {Mar 25}
OLH26	Euro/Krone {Mar 26}
OLM25	Euro/Krone {Jun 25}
OLU25	Euro/Krone {Sep 25}
OLZ25	Euro/Krone {Dec 25}
OR	Dollar/Rand
ORH25	Dollar/Rand {Mar 25}
ORH26	Dollar/Rand {Mar 26}
ORH27	Dollar/Rand {Mar 27}
ORH28	Dollar/Rand {Mar 28}
ORH29	Dollar/Rand {Mar 29}
ORH30	Dollar/Rand {Mar 30}
ORM25	Dollar/Rand {Jun 25}
ORM26	Dollar/Rand {Jun 26}
ORM27	Dollar/Rand {Jun 27}
ORM28	Dollar/Rand {Jun 28}
ORM29	Dollar/Rand {Jun 29}
ORU25	Dollar/Rand {Sep 25}
ORU26	Dollar/Rand {Sep 26}
ORU27	Dollar/Rand {Sep 27}
ORU28	Dollar/Rand {Sep 28}
ORU29	Dollar/Rand {Sep 29}
ORZ25	Dollar/Rand {Dec 25}
ORZ26	Dollar/Rand {Dec 26}
