Symbol	Description
DZVW	Sunny 5xlongsg250904
E27	Eucon Holding Limited
E28	Frencken Group Limited
E3B	Wee Hur Holdings Ltd.
E5H	Golden Agri-resources Ltd
E6R	Samko Timber Limited
E9L	Joyas International Hldgs Ltd
EAA	Lion-cm Em Asia S$
EAPS	Nx22100w 320801
EAU	Lion-cm Em Asia Us$
EB5	First Resources Limited
EBEW	Hscei 7xlongub250430
ECAW	Meituan 5xlongub251031
ECJW	Hstech 3xlongsg280309
ECSW	Hsi 7xlongsg251218
EDHW	Singtelmbecw251231
EGCW	Tencent 5xshortsg250320
EGEW	Meituan Mb Ecw250902
EH5	United Overseas Australia Ltd
EHG	Econ Healthcare
EHNW	Hstech 7xshortsg251216
EHPW	Netease 5xlongsg251216
EHZB	Fptrea 4.49%270916xb#
EJUS	N522100n 270901
EKPW	Byd 5xshortub250626
ELDW	Ocbc Bk Mb Epw250627
EMI	Emperador Inc.
EMJW	Alibaba Mb Ecw250603
ENTW	Hkex 5xlongsg270216
ENV	Ls 2 Holdings
EOOW	Cnooc 5xshortsg260908
EOVW	Nky 34000mbepw250314
EPVW	Byd 5xlongub250930
EQCW	Uob Mb Epw250627
ER0	Ksh Holdings Limited
ERJW	Cmob 5xshortub250626
ES3	Sti Etf
ESBW	Hstech 6200mbecw250627
ESG	Lgi-ospl Slc Etf S$
ESU	Lgi-ospl Slc Etf Us$
EUCW	Hsi 7xshortsg270309
EVD	Nikkoam-stc Cn Ev Us$
EVMW	Nasdaq 5xlongub250922
EVS	Nikkoam-stc Cn Ev S$
EXXW	Ccb 5xshortsg250320
F03	Food Empire Holdings Limited
F10	F J Benjamin Holdings Ltd
F13	Fu Yu Corporation Ltd
F17	Guocoland Limited
F1E	Low Keng Huat (singapore) Ltd
F34	Wilmar International Limited
F83	Cosco Corporation (s) Ltd
F86	Cougar Logistics Corpn Ltd
F99	Fraser And Neave Limited
F9D	Boustead Singapore Limited
FBXW	Meituan 5xshortub250430
FIMW	Kuaisho 5xlongub251031
FOFW	Byd 5xlongub250321
FQ7	Jasper Investments Limited
FQTW	Sgx Mb Epw250328
FRGW	Netease 5xlongub251128
FRQ	Sing Paincare
FWQW	Meituan 5xshortub251031
FYFS	N524100x 290401
FYSW	Alibaba Mb Epw251003
G07	Great Eastern Hldgs Ltd
G0I	Nam Lee Pressed Metal Inds Ltd
G13	Genting Singapore Plc
G1N	Lyxor Etf Msci India 10
G20	Gp Industries Limited
G3B	Dbs Singapore Sti Etf
G50	Grand Banks Yachts Limited
G92	China Aviation Oil(s) Corp Ltd
GAQW	Hsi 19800mbepw250429
GDJW	Hsi 21500mbecw250328
GEH	Goodwill
GGTW	Keppelmbepw250328
GHCW	Netease 5xshortub250321
GKTW	Citydev Mbecw250728
GMNW	Byd Mb Epw251003
GMPW	Citydev Mbecw250328
GPSW	Dbs 5xshortub250530
GRCW	Uob Mb Ecw251001
GRE	Uob Ap Grn Reit Us$
GRN	Uob Ap Grn Reit S$
GRO	Cgs Fg Csi1000 S$
GRQ	Don Agro
GRU	Cgs Fg Csi1000 Us$
GSD	Gld Sg$
GTXW	Baidu Mb Epw251003
GU5	China Kunda Tech Holdings Ltd
GUBW	Meituan 5xshortsg250320
GUVW	Xiaomi 5xshortub250321
GWGW	Jd Mb Ecw250402
H02	Haw Par Corp Ltd
H07	Stamford Land Corporation Ltd
H12	Hotel Royal Ltd
H13	Ho Bee Investment Limited
H15	Hotel Properties Ltd
H18	Hotel Grand Central Ltd
H1N	Lyxor Etf Msci Emerging Mkt 10
H20	Hoe Leong Corporation Ltd.
H22	Hong Leong Asia Ltd.
H30	Hong Fok Corporation Ltd
H78	Hongkong Land Holdings Limited
HAKW	Dbs Mb Epw250930
HAOW	Hsi 5xshortub251031
HAVW	Nky 40000mbecw250314
HBBD	Alibaba Hk Sdr 5to1
HBHW	S&p 6200mbecw250321
HBND	Bank Of Cn Hk Sdr 1to1
HD9	Dbxt Ftse Vietnam Etf 10
HIEW	Sunny 5xlongub250930
HIOW	Cmob 5xshortsg250515
HKB	Amtd Ib Ov
HKCW	Sands 5xlongub250930
HKKW	Clife Mbepw250603
HLJW	Netease 5xlongsg250924
HLKW	Sia 5xlongub250530
HLS	Helens
HMN	Ascott Trust
HMTD	Meituan Hk Sdr 5to1
HNVW	Byd3xshortub250428us$
HOUW	Yangzijimbecw250930
HPAD	Ping An Ins Hk Sdr2to1
HPMW	Xiaomi 5xlongsg270216
HQCW	S&p 7xshortsg260324
HQU	Oiltek
HQXW	Ix Biopharmaw260718
HRNW	Hkex 5xshortsg260908
HSHD	Hsbc Hk Sdr 5to1
HSS	Lion-ocbc Sec Hstech Us$
HST	Lion-ocbc Sec Hstech S$
HTCD	Tencent Hk Sdr 10to1
HURW	Meituan 5xshortub250626
HUTW	Geely 5xlongub250630
HXXD	Xiaomi Hk Sdr 2to1
HYDD	Byd Hk Sdr 10to1
HYNW	Sands 5xshortsg250320
i06	Intraco Limited
i07	Isdn Holdings Limited
i11	Ipco Int'l Limited
i49	Ifs Capital Limited
I98	Is Msci India 100
ICH	Lion-cm Csi Div Cny
ICM	Ishares Axjclimate S$
ICU	Ishares Axjclimate Us$
IESW	Dbs Mb Ecw250328
IFAW	Jd 5xlongub250930
IFHW	Lining 5xlongub251128
IFKW	Geely Mb Epw250703
IIIW	Sia 5xlongsg251216
IJEW	Clife Mbecw250804
IJIW	Pingan Mb Ecw250603
IJKW	Singtelmbepw250630
IKQW	Alibaba Mb Ecw250402
INC	Lion-cm Csi Div S$
IPTW	Apple 3xlongsg261204us$
IPUW	Apple 3xshortsg261204us$
IQKW	Lenovo Mb Epw251003
ISPW	S&p3xshortma260327us$
ITXW	Nasdaq 5xlongsg251216
IX2	Pec Ltd.
IXJW	Alibaba 5xshortsg250320
IZGW	Pacific Radiancew270919
IZIW	Byd Mb Ecw250902
J03	Jadason Enterprises Ltd
J2T	Hock Lian Seng Holdings Ltd
J36	Jardine Matheson Hldgs Ltd
J69U	Frasers Centrepoint Trust
J85	Cdl Hospitality Trusts
J91U	Cambridge Industrial Trust
JBFW	Alibaba Mb Ecw251003
JFOW	Hsi 19600mbepw250627
JGKW	Hstech 5xshortub270226
JHXW	Hsi 5xlongub251031
JIVW	Hkex Mb Ecw251003
JJJ	A Lion-nomura Japan S$
JK8	United Sse 50 China Etf
JLB	Grand Venture Technology Ltd
JLDW	Hsi 15000mbepw250328
JQPW	Nky 37000mbepw250314
JREW	Nasdaq 22500mbecw250620
JRTW	Ccb 5xlongub250430
JSKW	Smic 5xlongsg270316
JUS	A Lion-nomura Japan Us$
JVEW	Sunny 5xlongsg251216
JVPW	Cnooc 5xlongub260831
JWVW	Seatrium Mb Ecw250718
JXGW	Sgx Mb Epw250912
JYEU	Lendlease Reit
K03	Khong Guan Flour Milling Ltd
K29	Karin Technology Hldgs Limited
K3MD	Netease.com Adr 10
K3RD	Ctrip.com International Adr 10
K3SD	Baidu.com Adr 10
K6S	Prudential Plc
K71U	K-reit Asia
K75	Koh Brothers Group Limited
KDNW	Alibaba Mb Epw250603
KEWW	Alibaba Mb Ecw250603 125
KGIW	Baidu 5xshortsg250515
KHWW	Alibab3xlongub250428us$
KJ5	Bbr Holdings (s) Ltd
KJ7	Dbxt Msci Indonesia Etf 10
KJZW	Vikingw270628
KLOW	Aia 5xlongsg250423
KOUW	Singtelmbepw250328
KRMW	Wilmar 5xlongsg261217
KSYW	Uob Mb Epw250930
KTEW	Hsi 20600mbepw250429
KUH	Tsh Corporation Ltd
KUO	International Cement Groupltd.
KUSW	Lining Mbecw250703
KUTW	Meituan 5xshortsg250515
KUX	Dlf Holdings Limited
KV4	Dbxt Iboxx Singapore Etf 5
KYB	Foodinnovators
KZVW	Jd Mb Epw251003
KZYW	Lenovo Mb Epw250506
L02	Manhattan Resources Limited
L19	Lum Chang Holdings Limited
L23	Enviro-hub Holdings Ltd
L38	L.c.development Ltd
LBPW	Byd 5xshortub250430
LCGW	Baidu Mb Epw250402
LCS	Csop Low Carbon S$
LCU	Csop Low Carbon Us$
LG9	Dbxt Msci China Trn Etf 10
LIW	Eagle Hospitality Trust
LJ3	Overseas Union Enterprise Ltd
LMS	Lms Compliance
LNQW	Byd 5xshortub260831
LOAW	Hsi 5xshortub270226
LS9	Leader Environmental Tech Ltd
LSS	Phil Long Simsci2x S$
LSU	Phil Long Simsci2x Us$
LTVW	Nky 39000mbepw250314
LUY	Raffles Infrastructurehldgsltd
LVR	17live Group
LWDW	Tencentmbecw251003
LWZW	Sgx Mb Ecw250704
LYAW	Sunny 5xlongub250626
LYY	Sinocloud Grp
M01	Metro Holdings Limited
M03	Miyoshi Precision Limited
M04	Mandarin Oriental Intl Ltd
M05	Mtq Corporation Limited
M11	Mfg Integration Technology Ltd
M14	Innotek Limited
M15	Matex International Limited
M1GU	Sabana Shari'ah Compliant Reit
M44U	Mapletree Logistics Trust
M62	Cimb Ftse Asean40 100
MACW	Apple 3xlongsg261006
MAEW	Hsi 22200mbepw250429
MBH	Nikkoam Sgd Ig Corp Bond Etf
MCN	Phil-cu Ms China A50 S$
MCS	Phil-cu Ms China A50 Us$
MDWW	Cmb 5xlongsg251023
ME8U	Mapletree Industrial Trust
MEAW	Hsi 7xlongub260130
MF6	Mun Siong Engineering Limited
MGPW	Geely Mb Ecw251003
MHFW	Hstech 4400mbepw250627
MIJ	Alliance Healthcare Group Ltd
MMGW	Hsi 25200mbecw250627
MMS	Phillip Mm S$
MMT	Phillip Mm Us$d
MMWW	Geely 5xshortsg260908
MNCW	Kuaisho 5xlongub251128
MNRW	Byd Mb Ecw251202
MNSW	Tencent 5xlongub251128
MOFB	Nc22300w 720801
MPOW	Ocbc 5xshortsg261217
MR7	Nordic Group Limited
MV4	Mewah International Inc.
MVLW	Tencen3xlongub250428us$
MWUW	Lenovo Mb Ecw251003
MXNU	Elitecomreit Gbp
MXSW	Hstech 5000mbepw250929
MYLB	Addvalue 6%271104xb#
MZAW	Dbs Mb Epw250307
MZH	Nanofilm
MZZW	Hsi 18400mbepw250328
N01	Neratelecommunications Ltd
